Tuntikirjanpito

Pvm	Tunnit	Kuvaus
14.01	2h	Alustava suunnittelu
15.01	1h	GitHub repo, aihemäärittely, deadline I 
21.01   4h	Luokkarakenteen pohtimista ja muutama logiikkaluokka
22.01 	1h	Yksinkertainen määrittelyvaiheen luokkakaavio
27.01	4h	Lisää luokkarakenteen suunnittelua ja prototyyppailua
28.01	3h	Lisää logiikkaluokkia, tarkempi luokkakaavio
04.02	1h	Sekvenssikaavioita
05.02	3h	Javadoc, muutoksia logiikkaluokkiin
10.02	2h	Framework-luokkien hahmottelua
11.02	2h	Swing-käyttöliittymä alkuun, syötteiden kuuntelua
12.02	2h	Kaksi uutta sekvenssikaaviota, teknisiä luokkia
